date_id,full_date,day_of_week,day_number,month_number,month_name,quarter,year,is_weekend,is_np_holiday
1,1/1/2019,Tuesday,1,1,January,Q1,2019,0,0
2,1/2/2019,Wednesday,2,1,January,Q1,2019,0,0
3,1/3/2019,Thursday,3,1,January,Q1,2019,0,0
4,1/4/2019,Friday,4,1,January,Q1,2019,0,0
5,1/5/2019,Saturday,5,1,January,Q1,2019,1,0
6,1/6/2019,Sunday,6,1,January,Q1,2019,1,0
7,1/7/2019,Monday,7,1,January,Q1,2019,0,0
8,1/8/2019,Tuesday,8,1,January,Q1,2019,0,0
9,1/9/2019,Wednesday,9,1,January,Q1,2019,0,0
10,1/10/2019,Thursday,10,1,January,Q1,2019,0,0
11,1/11/2019,Friday,11,1,January,Q1,2019,0,0
12,1/12/2019,Saturday,12,1,January,Q1,2019,1,0
13,1/13/2019,Sunday,13,1,January,Q1,2019,1,0
14,1/14/2019,Monday,14,1,January,Q1,2019,0,0
15,1/15/2019,Tuesday,15,1,January,Q1,2019,0,0
16,1/16/2019,Wednesday,16,1,January,Q1,2019,0,0
17,1/17/2019,Thursday,17,1,January,Q1,2019,0,0
18,1/18/2019,Friday,18,1,January,Q1,2019,0,0
19,1/19/2019,Saturday,19,1,January,Q1,2019,1,0
20,1/20/2019,Sunday,20,1,January,Q1,2019,1,0
21,1/21/2019,Monday,21,1,January,Q1,2019,0,0
22,1/22/2019,Tuesday,22,1,January,Q1,2019,0,0
23,1/23/2019,Wednesday,23,1,January,Q1,2019,0,0
24,1/24/2019,Thursday,24,1,January,Q1,2019,0,0
25,1/25/2019,Friday,25,1,January,Q1,2019,0,0
26,1/26/2019,Saturday,26,1,January,Q1,2019,1,0
27,1/27/2019,Sunday,27,1,January,Q1,2019,1,0
28,1/28/2019,Monday,28,1,January,Q1,2019,0,0
29,1/29/2019,Tuesday,29,1,January,Q1,2019,0,0
30,1/30/2019,Wednesday,30,1,January,Q1,2019,0,0
31,1/31/2019,Thursday,31,1,January,Q1,2019,0,0
32,2/1/2019,Friday,1,2,February,Q1,2019,0,0
33,2/2/2019,Saturday,2,2,February,Q1,2019,1,0
34,2/3/2019,Sunday,3,2,February,Q1,2019,1,0
35,2/4/2019,Monday,4,2,February,Q1,2019,0,0
36,2/5/2019,Tuesday,5,2,February,Q1,2019,0,0
37,2/6/2019,Wednesday,6,2,February,Q1,2019,0,0
38,2/7/2019,Thursday,7,2,February,Q1,2019,0,0
39,2/8/2019,Friday,8,2,February,Q1,2019,0,0
40,2/9/2019,Saturday,9,2,February,Q1,2019,1,0
41,2/10/2019,Sunday,10,2,February,Q1,2019,1,0
42,2/11/2019,Monday,11,2,February,Q1,2019,0,0
43,2/12/2019,Tuesday,12,2,February,Q1,2019,0,0
44,2/13/2019,Wednesday,13,2,February,Q1,2019,0,0
45,2/14/2019,Thursday,14,2,February,Q1,2019,0,0
46,2/15/2019,Friday,15,2,February,Q1,2019,0,0
47,2/16/2019,Saturday,16,2,February,Q1,2019,1,0
48,2/17/2019,Sunday,17,2,February,Q1,2019,1,0
49,2/18/2019,Monday,18,2,February,Q1,2019,0,0
50,2/19/2019,Tuesday,19,2,February,Q1,2019,0,0
51,2/20/2019,Wednesday,20,2,February,Q1,2019,0,0
52,2/21/2019,Thursday,21,2,February,Q1,2019,0,0
53,2/22/2019,Friday,22,2,February,Q1,2019,0,0
54,2/23/2019,Saturday,23,2,February,Q1,2019,1,0
55,2/24/2019,Sunday,24,2,February,Q1,2019,1,0
56,2/25/2019,Monday,25,2,February,Q1,2019,0,0
57,2/26/2019,Tuesday,26,2,February,Q1,2019,0,0
58,2/27/2019,Wednesday,27,2,February,Q1,2019,0,0
59,2/28/2019,Thursday,28,2,February,Q1,2019,0,0
60,3/1/2019,Friday,1,3,March,Q1,2019,0,0
61,3/2/2019,Saturday,2,3,March,Q1,2019,1,0
62,3/3/2019,Sunday,3,3,March,Q1,2019,1,0
63,3/4/2019,Monday,4,3,March,Q1,2019,0,0
64,3/5/2019,Tuesday,5,3,March,Q1,2019,0,0
65,3/6/2019,Wednesday,6,3,March,Q1,2019,0,0
66,3/7/2019,Thursday,7,3,March,Q1,2019,0,0
67,3/8/2019,Friday,8,3,March,Q1,2019,0,0
68,3/9/2019,Saturday,9,3,March,Q1,2019,1,0
69,3/10/2019,Sunday,10,3,March,Q1,2019,1,0
70,3/11/2019,Monday,11,3,March,Q1,2019,0,0
71,3/12/2019,Tuesday,12,3,March,Q1,2019,0,0
72,3/13/2019,Wednesday,13,3,March,Q1,2019,0,0
73,3/14/2019,Thursday,14,3,March,Q1,2019,0,1
74,3/15/2019,Friday,15,3,March,Q1,2019,0,1
75,3/16/2019,Saturday,16,3,March,Q1,2019,1,0
