product_id,product_name,category,subcategory,unit_price,supplier_id,weight_kg,is_active
prod_00001,ProBook 15 Laptop,Electronics,Laptops,35976.37,supp_016,6.95,1
prod_00002,UltraSlim Notebook,Electronics,Laptops,45460.16,supp_085,2.22,1
prod_00003,GamerX Laptop,,Laptops,13424.22,supp_172,14.61,1
prod_00004,BudgetBook Laptop,Electronics,Laptops,27883.23,supp_186,28.07,1
prod_00005,ThinEdge Laptop Pro,Electronics,Laptops,29410.07,supp_122,7.37,1
prod_00006,StudentBook 14,Electronics,Laptops,24702.7,supp_105,5.79,1
prod_00007,PowerStation Laptop,Electronics,Laptops,6652.68,supp_111,10.69,1
prod_00008,CloudBook Lite,Electronics,Laptops,21732.91,supp_187,1.72,1
prod_00009,WorkPro Laptop 17,Electronics,Laptops,33365.86,supp_166,3.04,0
prod_00010,CreatorBook Studio,Electronics,Laptops,21325.82,supp_087,24.04,1
prod_00011,ProBook 15 Laptop V2,Electronics,Laptops,7244.91,supp_050,5.79,1
prod_00012,UltraSlim Notebook Plus,Electronics,Laptops,23533.45,supp_109,5.59,1
prod_00013,GamerX Laptop Lite,Electronics,Laptops,24206.15,supp_020,13.35,1
prod_00014,BudgetBook Laptop Pro,Electronics,Laptops,43344.76,supp_141,3.03,1
prod_00015,ThinEdge Laptop Pro Max,Electronics,Laptops,33302.95,supp_139,25.1,1
prod_00016,StudentBook 14 Mini,Electronics,Laptops,48511.82,supp_193,25.48,1
prod_00017,PowerStation Laptop XL,Electronics,Laptops,9982.93,supp_125,14.49,1
prod_00018,CloudBook Lite SE,Electronics,Laptops,43503.22,supp_016,5.02,1
prod_00019,WorkPro Laptop 17 New,Electronics,Laptops,2103.46,supp_100,8.03,1
prod_00020,CreatorBook Studio Ultra,Electronics,Laptops,39635.39,supp_117,8.63,1
prod_00021,ProBook 15 Laptop 2023,Electronics,Laptops,35436.39,supp_188,29.86,1
prod_00022,UltraSlim Notebook Elite,Electronics,Laptops,28676.88,supp_184,14.65,1
prod_00023,GamerX Laptop Basic,Electronics,Laptops,11115.1,supp_056,29.06,1
prod_00024,BudgetBook Laptop Eco,Electronics,Laptops,29800.65,supp_139,1.92,0
prod_00025,ThinEdge Laptop Pro Value,Electronics,Laptops,17053.03,supp_013,17.57,1
prod_00026,StudentBook 14 Prime,Electronics,Laptops,26136.82,supp_136,4.81,1
prod_00027,PowerStation Laptop Neo,Electronics,Laptops,48117.39,supp_021,25.56,1
prod_00028,CloudBook Lite Air,Electronics,Laptops,5289.02,supp_018,20.29,1
prod_00029,WorkPro Laptop 17 Core,Electronics,Laptops,13289.79,supp_031,28.25,1
prod_00030,CreatorBook Studio One,Electronics,Laptops,29344.42,supp_149,17.88,0
prod_00031,ProBook 15 Laptop V2,Electronics,Laptops,31730.31,supp_108,19.76,1
prod_00032,UltraSlim Notebook Plus,Electronics,Laptops,29130.89,supp_081,28.05,1
prod_00033,GamerX Laptop Lite,Electronics,Laptops,11804.44,supp_184,9.49,1
prod_00034,BudgetBook Laptop Pro,Electronics,Laptops,14749.5,supp_034,20.18,1
prod_00035,ThinEdge Laptop Pro Max,Electronics,Laptops,16399.86,supp_081,27.88,1
prod_00036,StudentBook 14 Mini,Electronics,Laptops,46915.25,supp_003,13.8,1
prod_00037,PowerStation Laptop XL,Electronics,Laptops,49925.81,supp_026,2.29,1
prod_00038,CloudBook Lite SE,Electronics,Laptops,12231.41,supp_068,4.06,1
prod_00039,WorkPro Laptop 17 New,Electronics,Laptops,18752.42,supp_018,26.39,1
prod_00040,CreatorBook Studio Ultra,Electronics,Laptops,19737.3,supp_041,13.2,1
prod_00041,ProBook 15 Laptop 2023,Electronics,Laptops,28074.46,supp_078,18.39,1
prod_00042,UltraSlim Notebook Elite,Electronics,Laptops,49387.19,supp_168,15.92,1
prod_00043,GamerX Laptop Basic,Electronics,Laptops,34057.43,supp_142,9.05,1
prod_00044,BudgetBook Laptop Eco,Electronics,Laptops,33842.66,supp_035,8.01,1
prod_00045,ThinEdge Laptop Pro Value,Electronics,Laptops,44706.21,supp_191,16.64,1
prod_00046,StudentBook 14 Prime,Electronics,Laptops,15072.71,supp_155,6.4,1
prod_00047,PowerStation Laptop Neo,Electronics,Laptops,18458.25,supp_176,19.06,1
prod_00048,CloudBook Lite Air,Electronics,Laptops,14671.23,supp_126,7.61,1
prod_00049,WorkPro Laptop 17 Core,Electronics,Laptops,45591.63,supp_014,2.86,1
prod_00050,CreatorBook Studio One,Electronics,Laptops,22331.64,supp_071,1.42,1
prod_00051,ProBook 15 Laptop V2,Electronics,Laptops,18010.71,supp_034,19.15,1
prod_00052,UltraSlim Notebook Plus,Electronics,Laptops,14573.85,supp_190,13.31,1
prod_00053,GamerX Laptop Lite,Electronics,Laptops,35872.04,supp_144,0.39,1
prod_00054,BudgetBook Laptop Pro,Electronics,Laptops,5611.71,supp_177,27.13,1
prod_00055,ThinEdge Laptop Pro Max,Electronics,Laptops,28188.33,supp_095,17.52,1
prod_00056,StudentBook 14 Mini,Electronics,Laptops,9108.5,supp_033,1.35,1
prod_00057,PowerStation Laptop XL,Electronics,Laptops,19503.27,supp_011,26.98,1
prod_00058,CloudBook Lite SE,Electronics,Laptops,12083.67,supp_064,20.04,1
prod_00059,WorkPro Laptop 17 New,Electronics,Laptops,18976.57,supp_144,26.54,1
prod_00060,CreatorBook Studio Ultra,Electronics,Laptops,21506.11,supp_159,22.51,1
prod_00061,ProBook 15 Laptop 2023,Electronics,Laptops,46436.66,supp_061,25.95,1
prod_00062,UltraSlim Notebook Elite,Electronics,Laptops,48857.89,supp_046,26.45,1
prod_00063,GamerX Laptop Basic,Electronics,Laptops,3189.75,supp_189,27.74,1
prod_00064,BudgetBook Laptop Eco,Electronics,Laptops,39554.55,supp_106,24.09,1
prod_00065,ThinEdge Laptop Pro Value,Electronics,Laptops,43475.07,supp_064,8.08,1
prod_00066,StudentBook 14 Prime,Electronics,Laptops,39793.98,supp_028,11.54,0
prod_00067,PowerStation Laptop Neo,Electronics,Laptops,3858.78,supp_121,6.75,1
prod_00068,CloudBook Lite Air,Electronics,Laptops,41196.16,supp_118,10.55,1
prod_00069,WorkPro Laptop 17 Core,Electronics,Laptops,41385.75,supp_059,6.77,1
prod_00070,CreatorBook Studio One,Electronics,Laptops,33681.59,supp_103,9.92,1
prod_00071,ProBook 15 Laptop V2,Electronics,Laptops,43488.94,supp_198,8.45,1
prod_00072,UltraSlim Notebook Plus,Electronics,Laptops,32791.12,supp_103,20.42,1
prod_00073,GamerX Laptop Lite,Electronics,Laptops,42495.74,supp_085,28.18,1
prod_00074,BudgetBook Laptop Pro,Electronics,Laptops,7536.4,supp_067,5.44,1
prod_00075,ThinEdge Laptop Pro Max,Electronics,Laptops,48201.65,supp_068,1.24,1
prod_00076,StudentBook 14 Mini,Electronics,Laptops,30635.42,supp_089,21.88,1
prod_00077,PowerStation Laptop XL,Electronics,Laptops,17056.51,supp_156,29.53,1
prod_00078,CloudBook Lite SE,Electronics,Laptops,7551,supp_148,5.78,1
prod_00079,WorkPro Laptop 17 New,Electronics,Laptops,4130.55,supp_112,0.15,1
prod_00080,CreatorBook Studio Ultra,Electronics,Laptops,46427.61,supp_138,20.64,0
prod_00081,ProBook 15 Laptop 2023,Electronics,Laptops,47132.63,supp_189,20.15,1
prod_00082,UltraSlim Notebook Elite,Electronics,Laptops,19482.63,supp_018,28.47,1
prod_00083,GamerX Laptop Basic,Electronics,Laptops,46197,supp_160,9.49,1
prod_00084,BudgetBook Laptop Eco,Electronics,Laptops,42704.73,supp_185,27.01,1
prod_00085,ThinEdge Laptop Pro Value,Electronics,Laptops,26341.88,supp_171,12.31,0
prod_00086,StudentBook 14 Prime,Electronics,Laptops,21315.22,supp_076,16.68,1
prod_00087,PowerStation Laptop Neo,Electronics,Laptops,11208.32,supp_171,28.22,1
prod_00088,CloudBook Lite Air,Electronics,Laptops,34511.26,supp_045,18.5,1
prod_00089,WorkPro Laptop 17 Core,Electronics,Laptops,16445.59,supp_141,25.03,1
prod_00090,CreatorBook Studio One,Electronics,Laptops,16586,supp_054,12.95,1
prod_00091,ProBook 15 Laptop V2,Electronics,Laptops,29839.27,supp_168,9.74,1
prod_00092,UltraSlim Notebook Plus,Electronics,Laptops,23205.73,supp_173,6.49,1
prod_00093,GamerX Laptop Lite,Electronics,Laptops,24712.94,supp_189,5.17,1
prod_00094,BudgetBook Laptop Pro,Electronics,Laptops,6070.19,supp_132,19.95,1
prod_00095,ThinEdge Laptop Pro Max,Electronics,Laptops,31724.52,supp_024,24.57,1
prod_00096,StudentBook 14 Mini,Electronics,Laptops,38054.63,supp_173,9.38,1
prod_00097,PowerStation Laptop XL,Electronics,Laptops,40715.02,supp_038,0.83,1
prod_00098,CloudBook Lite SE,Electronics,Laptops,13752.44,supp_122,18.38,1
prod_00099,WorkPro Laptop 17 New,Electronics,Laptops,38887.49,supp_117,12.49,1
prod_00100,CreatorBook Studio Ultra,Electronics,Laptops,32228.74,supp_050,21.58,1
prod_00101,ProBook 15 Laptop 2023,Electronics,Laptops,20430.97,supp_103,7.4,0
prod_00102,UltraSlim Notebook Elite,Electronics,Laptops,33490.78,supp_002,26.79,1
prod_00103,GamerX Laptop Basic,Electronics,Laptops,43301.15,supp_028,23.37,1
prod_00104,BudgetBook Laptop Eco,Electronics,Laptops,12504.37,supp_179,15.59,1
prod_00105,ThinEdge Laptop Pro Value,Electronics,Laptops,4410.48,supp_064,27.53,1
prod_00106,StudentBook 14 Prime,Electronics,Laptops,7825.21,supp_035,24.06,1
prod_00107,PowerStation Laptop Neo,Electronics,Laptops,34043.73,supp_144,17.9,0
prod_00108,CloudBook Lite Air,Electronics,Laptops,47601.9,supp_114,18.42,1
prod_00109,WorkPro Laptop 17 Core,Electronics,Laptops,36525.15,supp_130,12.86,1
prod_00110,CreatorBook Studio One,Electronics,Laptops,45529.03,supp_115,26.93,1
prod_00111,ProBook 15 Laptop V2,Electronics,Laptops,37695.46,supp_122,13.56,1
prod_00112,UltraSlim Notebook Plus,Electronics,Laptops,38085.29,supp_164,8.39,1
prod_00113,GamerX Laptop Lite,Electronics,Laptops,39328.39,supp_125,18.84,1
prod_00114,BudgetBook Laptop Pro,Electronics,Laptops,15180.68,supp_020,21.43,1
prod_00115,ThinEdge Laptop Pro Max,Electronics,Laptops,13255.69,supp_086,9.66,1
prod_00116,StudentBook 14 Mini,Electronics,Laptops,27927.31,supp_036,4.61,1
prod_00117,PowerStation Laptop XL,Electronics,Laptops,20385.69,supp_040,21.22,1
prod_00118,CloudBook Lite SE,Electronics,Laptops,5082.98,supp_105,9.99,1
prod_00119,WorkPro Laptop 17 New,Electronics,Laptops,24364.37,supp_016,6.28,1
prod_00120,CreatorBook Studio Ultra,Electronics,Laptops,22166.89,supp_198,17.56,1
prod_00121,ProBook 15 Laptop 2023,Electronics,Laptops,35385.1,supp_196,17.31,1
prod_00122,UltraSlim Notebook Elite,Electronics,Laptops,24895.03,supp_091,9.03,1
prod_00123,GamerX Laptop Basic,Electronics,Laptops,20719.36,supp_108,16.19,1
prod_00124,BudgetBook Laptop Eco,Electronics,Laptops,37262.43,supp_155,26.94,1
prod_00125,ThinEdge Laptop Pro Value,Electronics,Laptops,25435.01,supp_070,13.13,1
prod_00126,StudentBook 14 Prime,Electronics,Laptops,3393.19,supp_087,20.1,1
prod_00127,PowerStation Laptop Neo,Electronics,Laptops,40310.83,supp_186,5.03,1
prod_00128,CloudBook Lite Air,Electronics,Laptops,24434.73,supp_033,29.42,1
prod_00129,WorkPro Laptop 17 Core,Electronics,Laptops,27637.93,supp_101,17.8,1
prod_00130,CreatorBook Studio One,Electronics,Laptops,33823.99,supp_022,19.32,1
prod_00131,ProBook 15 Laptop V2,Electronics,Laptops,8513.58,supp_119,5.53,1
prod_00132,UltraSlim Notebook Plus,Electronics,Laptops,14487.5,supp_084,6.43,1
prod_00133,GamerX Laptop Lite,Electronics,Laptops,17688.6,supp_195,26.4,1
prod_00134,BudgetBook Laptop Pro,Electronics,Laptops,15356.32,supp_108,7.64,1
prod_00135,ThinEdge Laptop Pro Max,Electronics,Laptops,5931.5,supp_005,22.5,1
prod_00136,StudentBook 14 Mini,Electronics,Laptops,4500.11,supp_090,6.8,1
prod_00137,PowerStation Laptop XL,Electronics,Laptops,5293.68,supp_167,1.3,1
prod_00138,CloudBook Lite SE,Electronics,Laptops,3489.44,supp_064,6.06,1
prod_00139,WorkPro Laptop 17 New,Electronics,Laptops,2978.24,supp_040,7.23,1
prod_00140,CreatorBook Studio Ultra,Electronics,Laptops,24730.93,supp_030,16.96,1
prod_00141,ProBook 15 Laptop 2023,Electronics,Laptops,12462.3,supp_180,7.76,1
prod_00142,UltraSlim Notebook Elite,Electronics,Laptops,19706.97,supp_156,18.26,1
prod_00143,GamerX Laptop Basic,Electronics,Laptops,37900.43,supp_030,23.36,1
prod_00144,BudgetBook Laptop Eco,Electronics,Laptops,9860.76,supp_080,3.33,1
prod_00145,ThinEdge Laptop Pro Value,Electronics,Laptops,3232.56,supp_080,17.32,0
prod_00146,StudentBook 14 Prime,Electronics,Laptops,45585.26,supp_097,11.96,1
prod_00147,PowerStation Laptop Neo,Electronics,Laptops,,supp_020,17.8,1
prod_00148,CloudBook Lite Air,Electronics,Laptops,41867.44,supp_063,3.15,1
prod_00149,WorkPro Laptop 17 Core,Electronics,Laptops,39079.08,supp_176,18.05,1
prod_00150,CreatorBook Studio One,Electronics,Laptops,7810.64,supp_145,23.5,1
prod_00151,ProBook 15 Laptop V2,Electronics,Laptops,18665.78,supp_110,19.88,1
